Имя голоса,Категория,Подкатегория,,Описание,Пол,Доступ по подпискам,Название обложки,Название папки
voice_name,category,subcategory,slug,description,gender,subscription_type_name,image_file_name,voices_folder_name
Дмитрий Куплинов,Ютуберы,,Dima_Kuplinov_youtuber,,male,"red7, black14,blue30, violetvip",Дмитрий Куплинов ютубер,Дмитрий Куплинов
Булкин,Ютуберы,,Bulkin_youtuber,,male,"red7, black14,blue30, violetvip",Булкин ютубер,Булкин
Брайн Мапс,Ютуберы,,TheBrianMaps,,male,"red7, black14,blue30, violetvip",Брайн Мапс ютубер,Брайн Мапс
Витёк Плей,Ютуберы,,Vitec-Play-youtuber,,male,"red7, black14,blue30, violetvip",Витек Плей ютубер,Витёк Плей
Гура Гавр (eng),Ютуберы,,Gura_Gawr,,female,"red7, black14,blue30, violetvip",Гура Гавр англ ютуберша,Гура Гавр (eng)
Юрий Хованский ,Ютуберы,,Yuriy-Xovanskiy,,male,"red7, black14,blue30, violetvip",Юрий Хованский ютубер,Юрий Хованский 
Катя Адушкина,Ютуберы,,katyadyshkina,,female,"red7, black14,blue30, violetvip",Катя Адушкина ютубер,Катя Адушкина
Telblognet,Ютуберы,,telblognet_youtuber,,male,"red7, black14,blue30, violetvip",Телблокнет telblognet ютубер,Telblognet
Гоблин Пучков,Ютуберы,,Goblin_Puchkov,,male,"red7, black14,blue30, violetvip",Гоблин Пучков ютубер,Гоблин Пучков
Кека Симпл,Ютуберы,,keka_by_Nstudio,,female,"red7, black14,blue30, violetvip",Кека Симпл ютубер,Кека Симпл
Выживалово,Ютуберы,,Vijivalovo_youtuber,,male,"red7, black14,blue30, violetvip",Выживалово ютубер,Выживалово
Мармок,Ютуберы,,Marmok_youtuber_aihub,,male,"red7, black14,blue30, violetvip",Мармок ютубер,Мармок
Винди 31,Ютуберы,,Windy31_youtuber,Windy31,male,"red7, black14,blue30, violetvip",Винди 31 ютубер,Винди 31
Тэди,Ютуберы,,Taedi_youtuber,Taedi,female,"red7, black14,blue30, violetvip",Тэди Taedi ютубер,Тэди
Ютубная,Ютуберы,,youtubnaya,,female,"red7, black14,blue30, violetvip",Ютубная ютубер,Ютубная
Лололошка,Ютуберы,,Lololoshka_youtuber,,male,"red7, black14,blue30, violetvip",Лололошка ютубер,Лололошка
Паша Техник,Ютуберы,,Pasha-Texnik,,male,"red7, black14,blue30, violetvip",Паша Техник ютубер,Паша Техник
Артемий Лебедев,Ютуберы,,Artemiy_Lebedev,,male,"red7, black14,blue30, violetvip",Артемий Лебедев ютубер,Артемий Лебедев
Вилсаком,Ютуберы,,Vilsakom_youtuber,Wylsacom,male,"red7, black14,blue30, violetvip",Вилсаком ютубер,Вилсаком
Апвоут,Ютуберы,,Apvout_youtuber,,male,"red7, black14,blue30, violetvip",Апвоут ютубер,Апвоут
Наталия Артамонова,Ютуберы,,Natalia_Artamonava,,female,"red7, black14,blue30, violetvip",Наталия Артамонова ютубер,Наталия Артамонова
Даша Островская,Ютуберы,,Dasha_Ostrovskay,,female,"red7, black14,blue30, violetvip",Даша Островская ютубер,Даша Островская
Дружко Шоу,Ютуберы,,Drujko-show,,male,"red7, black14,blue30, violetvip",Дружко Шоу ютубер,Дружко Шоу
Антон Шастун,Ютуберы,,Anton_Shastun_youtuber,,male,"red7, black14,blue30, violetvip",Антон Шастун ютубер,Антон Шастун
Мистер Бист (rus),Ютуберы,,MrBeastRuss_youtuber,,male,"red7, black14,blue30, violetvip",Мистер Бист rus ютубер,Мистер Бист (rus)
Держи Дверь,Ютуберы,,Dergidver_youtuber,,male,"red7, black14,blue30, violetvip",Держи Дверь ютубер,Держи Дверь
Билли,Ютуберы,,BiLLy-yuotuber-tanki,,male,"red7, black14,blue30, violetvip",Билли Танкист ютубер,Билли
Неркин,Ютуберы,,Nerkin_youtuber,,male,"red7, black14,blue30, violetvip",Неркин ютубер,Неркин
Альберт,Ютуберы,,Albert_youtuber,,male,"red7, black14,blue30, violetvip",Альберт ютубер,Альберт
Юрий профессионал,Ютуберы,,Yuri-Professional-youtuber,Yuri The Professional,male,"red7, black14,blue30, violetvip",Юрий профессионал ютубер,Юрий профессионал
По братски,Ютуберы,,Po-bratski-youtuber,,male,"red7, black14,blue30, violetvip",По братски ютубер,По братски
Максим Вердикт,Ютуберы,,Maxim-Verdikt-youtuber,,male,"red7, black14,blue30, violetvip",Максим Вердикт ютубер,Максим Вердикт
Эрик Шоков,Ютуберы,,Erik_Shokov_youtuber,,male,"red7, black14,blue30, violetvip",Эрик Шоков ютубер,Эрик Шоков
Гусейн Гасанов,Ютуберы,,Guseyn-Gasanov-youtuber,,male,"red7, black14,blue30, violetvip",Гусейн Гасанов ютубер,Гусейн Гасанов
Айтипедия,Ютуберы,,itpedia_youtuber,,male,"red7, black14,blue30, violetvip",Айтипедия ютубер,Айтипедия
Моргенштерн,Ютуберы,,Morgenshtern_youtuber,,male,"red7, black14,blue30, violetvip",Моргенштерн ютубер,Моргенштерн
Фирамир,Ютуберы,,Firamir_youtuber,,male,"red7, black14,blue30, violetvip",Фирамир ютубер,Фирамир
Домер,Ютуберы,,Domer_youtuber,,male,"red7, black14,blue30, violetvip",Домер ютубер,Домер
Мориарти,Ютуберы,,Moriarti_youtuber,,male,"red7, black14,blue30, violetvip",Мориарти ютубер,Мориарти
Евгений Понасенков,Ютуберы,,Ponasenkov-maestro,,male,"red7, black14,blue30, violetvip",Маэстро Понасенков юбутер,Евгений Понасенков
Пак Чи Мин,BTS(🇰🇷),,Pak-Chi-Min-bts,"Подача голоса: бытовая, разговорная",male,"red7, black14,blue30, violetvip",Пак Чи Мин бтс,Пак Чи Мин
Чон Чонгук,BTS(🇰🇷),,Chon-Chonguk-bts,"Подача голоса: бытовая, разговорная",male,"red7, black14,blue30, violetvip",Чон Чонгук бтс,Чон Чонгук
Ким Сок Джин,BTS(🇰🇷),,Kim-Sok-Jin-bts,"Подача голоса: бытовая, разговорная",male,"red7, black14,blue30, violetvip",Ким Сок Джин бтс,Ким Сок Джин
Мин Юнги,BTS(🇰🇷),,Min-Yungi-bts,"Подача голоса: бытовая, разговорная",male,"red7, black14,blue30, violetvip",Мин Юнги бтс,Мин Юнги
Чон Хо Сок,BTS(🇰🇷),,Chon-Ho-Sok-bts,"Подача голоса: бытовая, разговорная",male,"red7, black14,blue30, violetvip",Чон Хо Сок бтс,Чон Хо Сок
Ким Намджун,BTS(🇰🇷),,Kim-Namdjun-bts,"Подача голоса: бытовая, разговорная",male,"red7, black14,blue30, violetvip",Ким Намджун бтс,Ким Намджун
Ким Тэ Хён,BTS(🇰🇷),,Kim-Te-Xen-bts,"Подача голоса: бытовая, разговорная",male,"red7, black14,blue30, violetvip",Ким Тэ Хён бтс,Ким Тэ Хён
Кольт,Игры,1. Бравл Старс,KoLt-brawlstars,,male,"red7, black14,blue30, violetvip",Кольт бравл старс обложка,Кольт
Леон,Игры,1. Бравл Старс,Leon-brawlstars,,male,"red7, black14,blue30, violetvip",Леон бравл старс обложка,Леон
Шелли Шотган,Игры,1. Бравл Старс,ShellyShotgun-brawlstars,,female,"red7, black14,blue30, violetvip",Шелли Шотган бравл старс обложка,Шелли Шотган
Генерал Гавс,Игры,1. Бравл Старс,GeneralGavs-brawlstars,,male,"red7, black14,blue30, violetvip",Генерал Гавс бравл старс обложка,Генерал Гавс
Мортис,Игры,1. Бравл Старс,Mortis-brawlstars,,male,"red7, black14,blue30, violetvip",Мортис бравл старс обложка,Мортис
Вольт,Игры,1. Бравл Старс,BoLt-brawlstars,,male,"red7, black14,blue30, violetvip",Вольт бравл старс обложка,Вольт
Эль Примо,Игры,1. Бравл Старс,Elprimo-brawlstars,,male,"red7, black14,blue30, violetvip",Эль Примо бравл старс обложка,Эль Примо
Эдгар,Игры,1. Бравл Старс,Edgar-brawlstars,,male,"red7, black14,blue30, violetvip",Эдгар бравл старс обложка,Эдгар
Пудж,Игры,3. Дота 2,Pudge-dota2,,male,"red7, black14,blue30, violetvip",Пудж дота обложка,Пудж
Акаша,Игры,3. Дота 2,Akasha-dota2,,female,"red7, black14,blue30, violetvip",Акаша дота обложка,Акаша
Снайпер,Игры,3. Дота 2,Sniper-dota2,,male,"red7, black14,blue30, violetvip",Снайпер дота обложка,Снайпер
Инвокер,Игры,3. Дота 2,Invoker-dota2,,male,"red7, black14,blue30, violetvip",Инвокер дота обложка,Инвокер
Виндрангер,Игры,3. Дота 2,Vindranger-dota2,,female,"red7, black14,blue30, violetvip",Виндрангер дота обложка,Виндрангер
Джаггернаут,Игры,3. Дота 2,Juggernaut-dota2,,male,"red7, black14,blue30, violetvip",Джаггернаут дота обложка,Джаггернаут
Фантом Ассасин,Игры,3. Дота 2,FantomAssasin-dota2,,female,"red7, black14,blue30, violetvip",Фантом Ассасин дота обложка,Фантом Ассасин
Антимаг,Игры,3. Дота 2,Antimag-dota2,,male,"red7, black14,blue30, violetvip",Антимаг дота обложка,Антимаг
Азир,Игры,8. Лига Легенд,Azir-League-of-Legends,,male,"red7, black14,blue30, violetvip",Азир Лига Легенд Обложка,Азир
Избранница Зимы Сенна,Игры,8. Лига Легенд,Izbrannica-Zimi-Senna-liga-legend,,female,"red7, black14,blue30, violetvip",Избранница зимы сенна лига легенд обложка,Избранница Зимы Сенна
